seed,result,time (seconds)
1090,solved,0.563
1091,solved,0.04
1092,solved,0
1093,solved,0
1094,solved,0.006
1095,solved,0
1096,solved,0
1097,solved,0.304
1098,solved,0.032
1099,solved,0.127
1100,solved,712.766
1101,solved,0
1102,unsolvable,0.333
1103,solved,0
1104,solved,0.001
1105,unsolvable,0
1106,unsolvable,0
1107,solved,0.011
1108,solved,0.021
1109,solved,0
1110,unsolvable,1880.637
1111,solved,0
1112,solved,0
1113,unknown,3600
1114,solved,0.005
1115,solved,0
1116,solved,0
1117,solved,0.001
1118,solved,0.044
1119,solved,0.318
1120,unsolvable,1.85
1121,solved,0.001
1122,solved,1.341
1123,solved,0.004
1124,solved,0.001
1125,unsolvable,0.001
1126,solved,0.03
1127,solved,0
1128,solved,0
1129,unknown,3600
1130,solved,0.009
1131,solved,0.004
1132,unknown,3600
1133,solved,0.262
1134,solved,0
1135,solved,0.042
1136,solved,0.001
1137,unsolvable,0.114
1138,solved,0
1139,unsolvable,0
1140,unknown,3600
1141,solved,0.002
1142,solved,0
1143,solved,0
1144,solved,0
1145,solved,28.62
1146,solved,0.002
1147,solved,0
1148,solved,0
1149,solved,0
1150,solved,0.038
1151,solved,0.001
1152,solved,0
1153,solved,0.003
1154,solved,0.013
1155,solved,0
1156,solved,0.107
1157,unsolvable,0.303
1158,solved,0
1159,unsolvable,0.043
1160,unsolvable,0.28
1161,solved,0
1162,solved,2.721
1163,solved,0
1164,unsolvable,20.765
1165,unsolvable,0.653
1166,unsolvable,0
1167,solved,0
1168,solved,0
1169,solved,0.039
1170,unknown,3600.01
1171,solved,0
1172,solved,0
1173,solved,0.043
1174,solved,1.554
1175,solved,0
1176,solved,0
1177,solved,0
1178,solved,1.209
1179,unsolvable,0
1180,solved,0
1181,solved,0.171
1182,solved,0
1183,unsolvable,0
1184,solved,0.001
1185,solved,0.027
1186,solved,0.003
1187,unsolvable,0.001
1188,solved,0.025
1189,unsolvable,0.325
1190,solved,0.002
1191,unsolvable,0.022
1192,unknown,3600.006
1193,solved,0.11
1194,solved,0
1195,solved,0
1196,solved,0
1197,solved,0.006
1198,solved,0.003
1199,unsolvable,0
1200,solved,0.001
1201,solved,0.013
1202,unknown,3600.016
1203,solved,0
1204,unsolvable,1.644
1205,solved,0.002
1206,unsolvable,20.973
1207,unsolvable,0.042
1208,solved,0
1209,solved,0
1210,solved,0.001
1211,solved,0.219
1212,unsolvable,1.839
1213,solved,0.005
1214,unsolvable,0.048
1215,solved,0
1216,solved,0
1217,solved,0
1218,solved,0
1219,solved,0
1220,solved,2.821
1221,solved,0.102
1222,solved,0
1223,solved,0
1224,solved,9.1
1225,solved,0
1226,solved,0
1227,solved,0.001
1228,solved,0
1229,solved,0.002
1230,solved,0.002
1231,solved,0
1232,solved,0.015
1233,solved,0.002
1234,solved,0
1235,solved,0
1236,solved,0.01
1237,solved,0.004
1238,solved,0.001
1239,solved,0.001
1240,unsolvable,0.042
1241,solved,0.006
1242,unsolvable,3.347
1243,solved,0
1244,solved,0
1245,solved,0.005
1246,solved,0.002
1247,unsolvable,0.106
1248,unsolvable,0.8
1249,unsolvable,12.037
1250,solved,0
1251,unsolvable,1158.489
1252,solved,0
1253,solved,0
1254,solved,0.068
1255,solved,0
1256,solved,0.007
1257,solved,0
1258,solved,0.004
1259,solved,0
1260,solved,0.01
1261,solved,0
1262,solved,0.245
1263,solved,0.391
1264,solved,0
1265,solved,0
1266,solved,0
1267,solved,0
1268,solved,0.005
1269,solved,0.002
1270,unsolvable,7.284
1271,unknown,3600
1272,solved,0
1273,unsolvable,0.337
1274,solved,0.029
1275,solved,0
1276,solved,0
1277,unsolvable,2.696
1278,solved,0.015
1279,solved,0.814
1280,solved,0
1281,unsolvable,0.24
1282,solved,0
1283,solved,23.069
1284,solved,0
1285,solved,0.001
1286,unsolvable,0.004
1287,solved,0.074
1288,unsolvable,0.353
1289,solved,0.095
1290,solved,0
1291,solved,0.04
1292,solved,0
1293,solved,0
1294,unsolvable,0.001
1295,solved,0.117
1296,solved,0
1297,solved,0.378
1298,solved,0.007
1299,solved,0
1300,solved,0.009
1301,unsolvable,0
1302,solved,0
1303,solved,0
1304,solved,1.347
1305,solved,0.029
1306,solved,0.001
1307,solved,0.035
1308,solved,0.039
1309,solved,0.002
1310,unsolvable,0.011
1311,solved,0.087
1312,solved,0.002
1313,unknown,3600
1314,solved,0.051
1315,solved,0
1316,solved,14.763
1317,solved,0.005
1318,solved,0.555
1319,unsolvable,0.239
1320,solved,0
1321,solved,0
1322,solved,0
1323,solved,0.013
1324,solved,3.131
1325,solved,0.011
1326,solved,0
1327,solved,1.282
1328,solved,0
1329,unsolvable,84.513
1330,unsolvable,1.148
1331,solved,0.047
1332,unsolvable,3.239
1333,solved,0
1334,unsolvable,0.076
1335,unsolvable,0
1336,solved,0
1337,solved,0.001
1338,unsolvable,2.044
1339,unsolvable,0.027
1340,solved,0
1341,solved,0
1342,unsolvable,1.205
1343,solved,0.008
1344,solved,0
1345,solved,0.002
1346,solved,0
1347,solved,0.002
1348,solved,0.006
1349,solved,0
1350,unsolvable,0.436
1351,solved,0.007
1352,solved,2.35
1353,solved,0.002
1354,solved,9.395
1355,solved,0.383
1356,solved,0
1357,unsolvable,0.739
1358,unsolvable,15.721
1359,solved,3275.601
1360,solved,0.001
1361,solved,0
1362,solved,0.004
1363,solved,0.003
1364,solved,0
1365,solved,0
1366,unsolvable,0
1367,solved,0
1368,solved,0
1369,solved,0
1370,solved,0.037
1371,solved,0.01
1372,solved,0
1373,solved,0
1374,solved,29.34
1375,solved,0.002
1376,solved,0.004
1377,solved,0
1378,unsolvable,1.257
1379,solved,1.228
1380,solved,0.007
1381,unsolvable,5.237
1382,solved,0.005
1383,solved,0.003
1384,solved,0.001
1385,unsolvable,0
1386,solved,0.3
1387,solved,0.005
1388,solved,0
1389,solved,0
1390,solved,0
1391,solved,0
1392,solved,0
1393,solved,0.026
1394,solved,0
1395,solved,0
1396,solved,0.058
1397,solved,0
1398,solved,0
1399,solved,0.005
1400,unsolvable,0.77
1401,solved,0
1402,unsolvable,0.024
1403,solved,0.002
1404,solved,0.006
1405,solved,0.001
1406,solved,0.008
1407,unsolvable,0.249
1408,solved,0.002
1409,unsolvable,0.653
1410,solved,0
1411,solved,0
1412,solved,0.028
1413,solved,0
1414,solved,0
1415,unknown,3600
1416,solved,0
1417,solved,0.132
1418,solved,0.002
1419,solved,0.002
1420,solved,0
1421,unsolvable,0.001
1422,solved,0.596
1423,solved,0.063
1424,solved,0.005
1425,solved,0.02
1426,solved,0.005
1427,solved,0
1428,unknown,3600
1429,solved,0
