Seed,result,time (seconds)
744,solved,84.02033333
745,solved,177.2436667
746,solved,147.6503333
747,solved,48.70666667
748,solved,126.4716667
749,solved,82.108
750,unsolvable,18.10333333
751,solved,151.6126667
752,solved,127.7683333
753,solved,85.626
754,solved,68.625
755,solved,87.708
756,solved,34.138
757,solved,61.73333333
758,solved,90.85766667
759,solved,109.825
760,solved,283.792
761,solved,117.49
762,solved,94.73666667
763,solved,55.12566667
764,solved,60.765
765,unsolvable,31.851
766,solved,128.1686667
767,solved,92.62466667
768,solved,35.21066667
769,solved,121.3286667
770,unsolvable,26.086
771,unsolvable,19.608
772,solved,110.9763333
773,solved,51.90166667
774,solved,120.884
775,solved,58.92233333
776,solved,47.07166667
777,solved,57.478
778,unsolvable,21.02966667
779,solved,81.457
780,solved,66.10433333
781,solved,105.2856667
782,solved,158.6506667
783,solved,75.21966667
784,solved,56.76833333
785,solved,115.8476667
786,solved,127.8823333
787,solved,107.7336667
788,solved,113.663
789,solved,98.94366667
790,solved,69.60966667
791,solved,50.29433333
792,solved,52.94466667
793,solved,77.52266667
794,solved,103.787
795,solved,75.43466667
796,solved,100.153
797,solved,147.837
798,solved,46.88733333
799,solved,77.04633333
800,solved,122.8443333
801,unsolvable,75.291
802,solved,95.43533333
803,solved,54.737
804,solved,114.001
805,solved,52.914
806,solved,54.776
807,solved,67.438
808,solved,74.99733333
809,unsolvable,32.586
810,solved,36.50366667
811,solved,75.17966667
812,solved,79.22866667
813,solved,62.98466667
814,solved,125.2773333
815,solved,120.348
816,solved,66.233
817,solved,66.51933333
818,unsolvable,28.448
819,solved,59.50766667
820,solved,73.802
821,solved,86.119
822,unsolvable,135.1776667
823,solved,74.89933333
824,solved,78.516
825,solved,48.24133333
826,solved,49.82533333
827,solved,52.56366667
828,solved,76.105
829,solved,146.6593333
830,solved,140.0656667
831,solved,93.68266667
832,solved,161.0283333
833,solved,117.3836667
834,unsolvable,55.664
835,solved,53.045
836,solved,44.54266667
837,unsolvable,43.26566667
838,solved,76.90733333
839,unsolvable,34.08033333
840,solved,187.4233333
841,solved,128.9396667
842,solved,119.9386667
843,solved,94.27666667
844,solved,89.30366667
845,unsolvable,29.21
846,solved,177.888
847,solved,116.001
848,solved,64.43033333
849,unsolvable,37.62133333
850,solved,59.53266667
851,solved,78.748
852,solved,57.853
853,solved,110.6276667
854,unsolvable,23.21933333
855,solved,62.829
856,solved,57.827
857,solved,45.67966667
858,unsolvable,34.789
859,unsolvable,13.74933333
860,solved,133.941
861,solved,129.1066667
862,unsolvable,23.88266667
863,solved,65.88833333
864,solved,46.724
865,solved,96.73866667
866,unsolvable,51.69033333
867,solved,86.80333333
868,unsolvable,12.34466667
869,solved,128.8196667
870,solved,73.06666667
871,solved,74.642
872,solved,103.622
873,solved,71.01133333
874,solved,82.82433333
875,solved,106.7613333
876,solved,102.211
877,solved,110.1106667
878,solved,73.63066667
879,unsolvable,247.1036667
880,solved,64.57
881,solved,73.57233333
882,solved,102.1116667
883,unsolvable,57.69366667
884,unsolvable,13.37466667
885,solved,205.081
886,solved,120.5223333
887,solved,53.798
888,solved,90.41766667
889,unsolvable,10.34433333
890,solved,261.9626667
891,unsolvable,41.926
892,solved,278.4826667
893,unsolvable,33.326
894,solved,103.09
895,unsolvable,358.806
896,solved,50.71633333
897,solved,99.80733333
898,unsolvable,8.116666667
899,solved,77.51433333
900,solved,109.5293333
901,solved,111.2746667
902,solved,36.67733333
903,solved,63
904,solved,267.4616667
905,solved,94.271
906,solved,112.9833333
907,solved,76.27933333
908,solved,75.16966667
909,solved,57.12866667
910,solved,171.3016667
911,solved,78.34033333
912,solved,109.5986667
913,solved,217.39
914,solved,62.41233333
915,solved,157.2476667
916,solved,60.162
917,solved,180.9783333
918,solved,82.162
919,solved,73.34266667
920,unsolvable,26.36033333
921,solved,37.152
922,unsolvable,33.21133333
923,solved,104.3996667
924,solved,79.29466667
925,unsolvable,38.231
926,solved,98.15966667
927,unsolvable,9.479
928,unsolvable,55.18733333
929,solved,131.8203333
930,solved,113.2143333
931,solved,88.47733333
932,solved,84.94033333
933,solved,93.03766667
934,solved,90.27066667
935,solved,143.413
936,solved,46.11566667
937,solved,86.04833333
938,solved,116.3493333
939,solved,206.1093333
940,solved,171.821
941,unsolvable,34.32633333
942,solved,74.612
943,solved,275.991
944,solved,92.85633333
945,solved,108.0626667
946,solved,67.77066667
947,solved,73.36
948,solved,85.72133333
949,solved,52.02266667
950,solved,104.6503333
951,solved,63.38333333
952,unsolvable,58.31733333
953,solved,164.0486667
954,solved,81.04166667
955,solved,91.322
956,solved,45.85366667
957,solved,90.59633333
958,unsolvable,33.87166667
959,solved,131.164
960,solved,48.85133333
961,unsolvable,132.608
962,solved,98.45333333
963,solved,68.877
964,solved,88.708
965,solved,163.665
966,solved,175.2743333
967,unsolvable,15.85533333
968,solved,72.50866667
969,solved,170.8576667
970,solved,97.86566667
971,solved,76.12166667
972,solved,88.665
973,solved,80.67866667
974,solved,132.9656667
975,solved,80.74366667
976,unsolvable,35.29733333
977,unsolvable,54.223
978,solved,79.49633333
979,solved,111.203
980,solved,87.28633333
981,unsolvable,9.523333333
982,unsolvable,13.18833333
983,solved,108.243
984,solved,66.04366667
985,solved,82.95366667
986,solved,111.8666667
987,solved,85.79233333
988,solved,139.4863333
989,unsolvable,74.03966667
990,solved,64.879
991,solved,142.2713333
992,solved,41.445
993,solved,73.78633333
994,solved,131.028
995,solved,135.954
996,solved,70.71266667
997,unsolvable,43.10866667
998,unsolvable,76.07966667
999,solved,64.9
1000,unsolvable,34.93533333
1001,unsolvable,15.78266667
1002,solved,73.732
1003,solved,160.0196667
1004,solved,78.92333333
1005,solved,67.801
1006,solved,49.73966667
1007,solved,61.8
1008,solved,102.954
1009,solved,104.636
1010,solved,36.42066667
1011,solved,161.4173333
1012,solved,58.94533333
1013,solved,69.40833333
1014,solved,88.14566667
1015,solved,188.352
1016,solved,66.308
1017,solved,133.669
1018,solved,63.09366667
1019,solved,84.792
1020,solved,57.80833333
1021,solved,132.4466667
1022,solved,103.6533333
1023,solved,102.1076667
1024,unsolvable,50.194
1025,solved,135.8523333
1026,unsolvable,23.58633333
1027,unsolvable,26.01433333
1028,solved,48.371
1029,solved,75.08033333
1030,solved,89.11933333
1031,solved,106.8413333
1032,unsolvable,30.24533333
1033,unsolvable,147.9723333
1034,solved,132.2343333
1035,solved,69.76466667
1036,solved,114.7856667
1037,solved,97.84766667
1038,solved,202.0973333
1039,solved,60.76666667
1040,solved,213.9446667
1041,solved,74.18733333
1042,solved,98.161
1043,solved,262.3723333
1044,unsolvable,51.99133333
1045,solved,95.02366667
1046,unsolvable,28.99933333
1047,solved,47.55866667
1048,solved,114.2906667
